OLDURL,NEWURL,TYPE,ID,COMMENT,MAIN,
/contacto,/on/demandware.store/Sites-es-babyliss-Site/es_ES/CustomerService-ContactUs,CustomerService-ContactUs,ContactUs,,babylissmen,
/aviso-legal,/on/demandware.store/Sites-es-babyliss-Site/es_ES/CustomerService-ContactUs,CustomerService-ContactUs,ContactUs,,babylissmen,
/contacto,/on/demandware.store/Sites-es-babyliss-Site/es_ES/CustomerService-ContactUs,CustomerService-ContactUs,ContactUs,,es,
/atencion-al-cliente,/on/demandware.store/Sites-es-babyliss-Site/es_ES/CustomerService-ContactUs,CustomerService-ContactUs,ContactUs,,es,
/media/pdf/instrucciones/G937E.pdf,/on/demandware.store/Sites-es-babyliss-Site/es_ES/CustomerService-ContactUs,CustomerService-ContactUs,ContactUs,,es,
/media/pdf/instrucciones/8480E.pdf,/on/demandware.store/Sites-es-babyliss-Site/es_ES/CustomerService-ContactUs,CustomerService-ContactUs,ContactUs,,es,
/politica-cookies,/politica-cookie.html,CustomerService-ContactUs,ContactUs,,es,
/aviso-legal,/politica-privacidad.html,CustomerService-ContactUs,ContactUs,,es,
/politica-privacidad,/politica-privacidad.html,CustomerService-ContactUs,ContactUs,,es,
/,/,Home-Show,,,es,
/2020ce,/mujer/cuidado_del_cabello/multistylers_y_rulos/fun_style-2020CE.html,Product-Show,2020CE,,es,
/cabello/moldeador-pelo/2656e,/mujer/cuidado_del_cabello/cepillos_moldeadores/airstyle_300_intercambiable-2656E.html,Product-Show,2656E,,es,
/271ce,/mujer/cuidado_del_cabello/tenacillas/%C2%A0tenacilla_pro_ceramic_16_mm-271CE.html,Product-Show,271CE,,es,
/cabello/tenacillas-pelo/271ce,/mujer/cuidado_del_cabello/tenacillas/%C2%A0tenacilla_pro_ceramic_16_mm-271CE.html,Product-Show,271CE,,es,
/3021e,/mujer/cuidado_del_cabello/multistylers_y_rulos/rulos_volume_%26_curl_ceramic-3021E.html,Product-Show,3021E,,es,
/cabello/rulos-termicos/3021e,/mujer/cuidado_del_cabello/multistylers_y_rulos/rulos_volume_%26_curl_ceramic-3021E.html,Product-Show,3021E,,es,
/3038e,/mujer/cuidado_del_cabello/multistylers_y_rulos/rulos_volume_%26_curl-3038E.html,Product-Show,3038E,,es,
/3060e,/mujer/cuidado_del_cabello/multistylers_y_rulos/rulos_volume_%26_curl-3060E.html,Product-Show,3060E,,es,
/cabello/rulos-termicos/3060e,/mujer/cuidado_del_cabello/multistylers_y_rulos/rulos_volume_%26_curl-3060E.html,Product-Show,3060E,,es,
/secador-mini-de-viaje,/mujer/cuidado_del_cabello/formatos_mini/secador_mini_de_viaje-5250E.html,Product-Show,5250E,,es,
/pro-light-2000w-negro,/mujer/cuidado_del_cabello/secadores/pro_light_negro-6604E.html,Product-Show,6604E,,es,
/pro-light-2000w-blanco,/mujer/cuidado_del_cabello/secadores/pro_light_blanco-6604WE.html,Product-Show,6604WE,,es,
/pro-light-2100w,/mujer/cuidado_del_cabello/secadores/pro_light-6609E.html,Product-Show,6609E,,es,
/cabello/secadores-expert/expert-2100-negro,/mujer/cuidado_del_cabello/secadores/pro_light_volume_-_2100w-6610DE.html,Product-Show,6610DE,,es,
/cabello/secadores-profesional/pro-light-2100w,/mujer/cuidado_del_cabello/secadores/pro_light_volume_-_2100w-6610DE.html,Product-Show,6610DE,,es,
/pro-light-volume-2100w,/mujer/cuidado_del_cabello/secadores/pro_light_volume_-_2100w-6610DE.html,Product-Show,6610DE,,es,
/pro-silence-2200w,/mujer/cuidado_del_cabello/secadores/pro_silence_-_2200w-6611E.html,Product-Show,6611E,,es,
/cabello/secadores-profesional/secador-pro-silence-volume,/mujer/cuidado_del_cabello/secadores/secador_pro_silence_volume-6613DE.html,Product-Show,6613DE,,es,
/secador-pro-silence-volume,/mujer/cuidado_del_cabello/secadores/secador_pro_silence_volume-6613DE.html,Product-Show,6613DE,,es,
/cabello/secadores-profesional/pro-intense-2400w-rojo,/mujer/cuidado_del_cabello/secadores/pro_intense_2400w_rojo-6615E.html,Product-Show,6615E,,es,
/pro-intense-2400w-rojo,/mujer/cuidado_del_cabello/secadores/pro_intense_2400w_rojo-6615E.html,Product-Show,6615E,,es,
/pro-intense-2400w-negro,/mujer/cuidado_del_cabello/secadores/pro_intense_2400w_negro-6616E.html,Product-Show,6616E,,es,
/cabello/secadores-profesional/secador-ac-le-pro-compact-6720e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact-6720E.html,Product-Show,6720E,,es,
/secador-ac-le-pro-compact-6720e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact-6720E.html,Product-Show,6720E,,es,
/cabello/secadores-profesional/pro-digital-compact,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact-6730E.html,Product-Show,6730E,,es,
/cabello/secadores-profesional/secador-ac-le-pro-compact-intense-plata-6730e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact-6730E.html,Product-Show,6730E,,es,
/secador-ac-le-pro-compact-intense-plata-6730e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact-6730E.html,Product-Show,6730E,,es,
/cabello/secadores-profesional/secador-ac-le-pro-compact-intense-oro-rosa-6732e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact_intense_oro_rosa-6732E.html,Product-Show,6732E,,es,
/secador-ac-le-pro-compact-intense-oro-rosa-6732e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact_intense_oro_rosa-6732E.html,Product-Show,6732E,,es,
/cabello/secadores-profesional/secador-ac-le-pro-compact-intense-white-gold-6735e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact_intense_white_and_gold-6735E.html,Product-Show,6735E,,es,
/secador-ac-le-pro-compact-intense-white-gold-6735e,/mujer/cuidado_del_cabello/secadores/secador_ac_le_pro_compact_intense_white_and_gold-6735E.html,Product-Show,6735E,,es,
/belleza/espejo-maquillaje-x5,/mujer/belleza/espejos/espejo_luminoso_redondo-8435E.html,Product-Show,8435E,,es,
/belleza/espejo-maquillaje-x1-x7,/mujer/belleza/espejos/espejo_luminoso_ovalado-8437E.html,Product-Show,8437E,,es,
/belleza/espejo-maquillaje-x1-x8,/mujer/belleza/espejos/espejo_luminoso_doble_cara-8438E.html,Product-Show,8438E,,es,
/as121e-606,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_airstyle_1200-AS121E.html,Product-Show,AS121E,,es,
/cabello/moldeador-pelo/as121e-606,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_airstyle_1200-AS121E.html,Product-Show,AS121E,,es,
/cabello/moldeador-pelo/cepillo-de-aire-gold-ceramic-3-cabezales-as125e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_gold_ceramic_3_cabezales-AS125E.html,Product-Show,AS125E,,es,
/cepillo-de-aire-gold-ceramic-3-cabezales-as125e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_gold_ceramic_3_cabezales-AS125E.html,Product-Show,AS125E,,es,
/as130e-605,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotativo_brushing_700-AS130E.html,Product-Show,AS130E,,es,
/cabello/moldeador-pelo/as130e-605,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotativo_brushing_700-AS130E.html,Product-Show,AS130E,,es,
/cabello/moldeador-pelo/cepillo-de-aire-gold-ceramic-4-cabezales-as135e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_gold_ceramic_4_cabezales-AS135E.html,Product-Show,AS135E,,es,
/cepillo-de-aire-gold-ceramic-4-cabezales-as135e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_gold_ceramic_4_cabezales-AS135E.html,Product-Show,AS135E,,es,
/cabello/moldeador-pelo/cepillo-rotativo-ceramico-especial-alisado-611,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_moldeador_giratorio_iónico_“especial_secado”-AS200E.html,Product-Show,AS200E,,es,
/cabello/moldeador-pelo/cepillo-rotativo-ionico-especial-secado-610,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_moldeador_giratorio_iónico_“especial_secado”-AS200E.html,Product-Show,AS200E,,es,
/cepillo-rotativo-ionico-especial-secado-610,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_moldeador_giratorio_iónico_“especial_secado”-AS200E.html,Product-Show,AS200E,,es,
/cepillo-rotativo-ceramico-especial-alisado-611,mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_moldeador_giratorio_cerámico_“especial_alisado”-AS250E.html,Product-Show,AS250E,,es,
/cabello/moldeador-pelo/cepillo-rotatorio-gold-ceramic-2cabezales-as510e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotatorio_gold_ceramic_2_accesorios-AS510E.html,Product-Show,AS510E,,es,
/cepillo-rotatorio-gold-ceramic-2cabezales-as510e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotatorio_gold_ceramic_2_accesorios-AS510E.html,Product-Show,AS510E,,es,
/cabello/moldeador-pelo/cepillo-rotatorio-gold-ceramic-4cabezales-as520e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotatorio_gold_ceramic_4_accesorios-AS520E.html,Product-Show,AS520E,,es,
/cepillo-rotatorio-gold-ceramic-4cabezales-as520e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotatorio_gold_ceramic_4_accesorios-AS520E.html,Product-Show,AS520E,,es,
/700w-pro-rotating-brush-608,/mujer/cuidado_del_cabello/cepillos_moldeadores/700w-_pro_rotating_brush-AS531E.html,Product-Show,AS531E,,es,
/cabello/moldeador-pelo/cepillo-rotatorio-deep-black-ceramic-4-cabezales-as540e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_rotatorio_deep_black_ceramic-sensitive_as540e.html,Product-Show,as540e,,es,
/cepillo-rotatorio-deep-black-ceramic-4-cabezales-as540e,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_rotatorio_deep_black_ceramic-sensitive_as540e.html,Product-Show,as540e,,es,
/cabello/moldeador-pelo/cepillo-rotatorio-white-gold-4-cabezales-as545,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotatorio_white%26gold_4acc-AS545E.html,Product-Show,AS545E,,es,
/cepillo-rotatorio-white-gold-4-cabezales-as545,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_rotatorio_white%26gold_4acc-AS545E.html,Product-Show,AS545E,,es,
/800w-pro-rotating-brush-609,/mujer/cuidado_del_cabello/cepillos_moldeadores/800w-_pro_rotating_brush-AS551E.html,Product-Show,AS551E,,es,
/cabello/moldeador-pelo/800w-pro-rotating-brush-609,/mujer/cuidado_del_cabello/cepillos_moldeadores/800w-_pro_rotating_brush-AS551E.html,Product-Show,AS551E,,es,
/as81e-604,/mujer/cuidado_del_cabello/cepillos_moldeadores/cepillo_de_aire_airstyler_800-AS81E.html,Product-Show,AS81E,,es,
/cabello/rizadores-curl-secret/curl-secret-ionic-con-control-de-direccion,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_ionic-C1050E.html,Product-Show,C1050E,,es,
/cabello/rizadores-curl-secret/curl-secret-lcd-white-gold-curl-secret-lcd-white-gold-c1225e,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_lcd_white%26gold-C1225E.html,Product-Show,C1225E,,es,
/curl-secret-lcd-white-gold-curl-secret-lcd-white-gold-c1225e,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_lcd_white%26gold-C1225E.html,Product-Show,C1225E,,es,
/C1600E/ES/index.html,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_optimum-optimum_c1600e.html,Product-Show,c1600e,,es,
/cabello/rizadores-curl-secret/curl-secret-optimum-lcd-c1600e,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_optimum-optimum_c1600e.html,Product-Show,c1600e,,es,
/curl-secret-optimum-lcd-c1600e,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_optimum-optimum_c1600e.html,Product-Show,c1600e,,es,
/rizadores-curl-secret-optimum-C1600E/ES/index.html,/mujer/cuidado_del_cabello/rizadores_curl_secret/curl_secret_optimum-optimum_c1600e.html,Product-Show,c1600e,,es,
/c20e,/mujer/cuidado_del_cabello/tenacillas/easy_curl-C20E.html,Product-Show,C20E,,es,
/cabello/tenacillas-pelo/c20e,/mujer/cuidado_del_cabello/tenacillas/easy_curl-C20E.html,Product-Show,C20E,,es,
/c319e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_19_mm-C319E.html,Product-Show,C319E,,es,
/cabello/tenacillas-pelo/c319e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_19_mm-C319E.html,Product-Show,C319E,,es,
/cabello/tenacillas-pelo/tenacilla-sublim-touch-25-mm,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_25_mm-C325E.html,Product-Show,C325E,,es,
/tenacilla-sublim-touch-25-mm,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_25_mm-C325E.html,Product-Show,C325E,,es,
/c332e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_32_mm-C332E.html,Product-Show,C332E,,es,
/cabello/tenacillas-pelo/c332e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_32_mm-C332E.html,Product-Show,C332E,,es,
/c338e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_38_mm-C338E.html,Product-Show,C338E,,es,
/cabello/tenacillas-pelo/c338e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sublim´touch_38_mm-C338E.html,Product-Show,C338E,,es,
/tenacilla-gold-ceramic-s-c419e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_gold_ceramic__«_s_»_19%C2%A0mm-C419E.html,Product-Show,C419E,,es,
/cabello/tenacillas-pelo/tenacilla-gold-ceramic-m-c425e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_gold_ceramic_«_m_»_25%C2%A0mm-C425E.html,Product-Show,C425E,,es,
/tenacilla-gold-ceramic-m-c425e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_gold_ceramic_«_m_»_25%C2%A0mm-C425E.html,Product-Show,C425E,,es,
/cabello/tenacillas-pelo/tenacilla-gold-ceramic-l-c432e,/mujer/cuidado_del_cabello/tenacillas/tenacillas_gold_ceramic_32%C2%A0mm-C432E.html,Product-Show,C432E,,es,
/tenacilla-gold-ceramic-l-c432e,/mujer/cuidado_del_cabello/tenacillas/tenacillas_gold_ceramic_32%C2%A0mm-C432E.html,Product-Show,C432E,,es,
/cabello/tenacillas-pelo/tenacilla-conica-gold-ceramic-c435e,/mujer/cuidado_del_cabello/tenacillas/tenacillas_cónicas_gold_ceramic_13-25%C2%A0mm-C435E.html,Product-Show,C435E,,es,
/tenacilla-conica-gold-ceramic-c435e,/mujer/cuidado_del_cabello/tenacillas/tenacillas_cónicas_gold_ceramic_13-25%C2%A0mm-C435E.html,Product-Show,C435E,,es,
/cabello/tenacillas-pelo/tenacilla-ovalada-gold-ceramic-c440e,/mujer/cuidado_del_cabello/tenacillas/tenacillas_ovaladas_gold_ceramic_38%C2%A0mm-C440E.html,Product-Show,C440E,,es,
/tenacilla-ovalada-gold-ceramic-c440e,/mujer/cuidado_del_cabello/tenacillas/tenacillas_ovaladas_gold_ceramic_38%C2%A0mm-C440E.html,Product-Show,C440E,,es,
/c525e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_i_pro_25mm-C525E.html,Product-Show,C525E,,es,
/cabello/tenacillas-pelo/c525e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_i_pro_25mm-C525E.html,Product-Show,C525E,,es,
/cabello/tenacillas-pelo/tenacilla-deep-black-s-c619e,/mujer/cuidado_del_cabello/tenacillas/tenacilla_sensitive_«_s_»_19%C2%A0mm-C619E.html,Product-Show,C619E,,es,
